	EA05_S_Wi2017RNA	EA10_S_Wi2017RNA	EB05_S_Wi2013RNA	EB05_S_Wi2017RNA	EB05_S_Wi2018RNA	EB07_S_Wi2017RNA	EB10_S_Wi2017RNA	EBI05_S_Wi2018RNA	EBI10_S_Wi2017RNA	EBI20_S_Wi2018RNA	ED05_S_Su2017RNA	ED05_S_Wi2013RNA	ED05_S_Wi2016RNA	ED05_S_Wi2017RNA	ED05_S_Wi2018RNA	ED10_S_Wi2017RNA	EL05_S_Wi2017RNA	EL05_S_Wi2018RNA	EL10_S_Wi2017RNA	EM05_S_Wi2017RNA	EM10_S_Wi2015RNA	EN10_S_Wi2017RNA	EN15_S_Wi2017RNA	EN15_S_Wi2018RNA	EN17_S_Wi2013RNA	EN17_S_Wi2017RNA	EN20_S_Wi2013RNA	EN20_S_Wi2016RNA	EN20_S_Wi2017RNA	EN20_S_Wi2018RNA	EN30_S_Su2017RNA	EO05_S_Wi2013RNA	EO05_S_Wi2017RNA	EO10_S_Wi2017RNA	EOI10_S_Su2017RNA	EOI10_S_Wi2017RNA	EOI10_S_Wi2018RNA	EOI15_S_Su2017RNA	EOI15_S_Wi2017RNA	EOI20_S_Su2017RNA	EOI20_S_Su2018RNA	EOI20_S_Wi2013RNA	EOK05_S_Su2017RNA	EOK05_S_Wi2017RNA	EOK05_S_Wi2018RNA	EOK10_S_Wi2013RNA	EOK10_S_Wi2017RNA	EOK10_S_Wi2018RNA	EU05_S_Wi2013RNA	EU05_S_Wi2017RNA	EU05_S_Wi2018RNA	EU08_S_Wi2013RNA	EU08_S_Wi2017RNA	EU08_S_Wi2018RNA	EUR05_S_Wi2015RNA	EUR05_S_Wi2016RNA	EUR05_S_Wi2017RNA	EUR05_S_Wi2018RNA	EUR05_S_Wi2019RNA	LOK10_S_Wi2013RNA
ED05_S_Su2017	0.881341623361696	0.715937834672805	0.961257484795607	0.627023655317455	0.728378374254308	0.649680047986737	0.732157303635298	0.671192802680393	0.698430413759421	0.853538088611785	0.598290070695265	0.9669122479421	0.767425808392738	0.951024629151173	0.945721103382664	0.770066689732766	0.602655390569766	0.640210803095537	0.684341133697091	0.679821666469481	0.950797331732835	0.870075848749338	0.746161914184437	0.696466890734134	0.818260459043033	0.813027410068274	0.8198791749591	0.765255838440937	0.785932031696245	0.748391694913481	0.833645768570197	0.713674378992113	0.646662695876712	0.887171729179392	0.855089347007671	0.762968488348088	0.736427254726417	0.820778169859333	0.832449582146471	0.81756419289985	0.845335321764877	0.76435739481939	0.728754222837435	0.76516198439402	0.877836283960849	0.721068383135372	0.662113627894832	0.712039295875177	0.974712199203728	0.84489775853199	0.946786376391225	0.809006825152136	0.822097459780307	0.840713410746656	0.912847116993973	0.834427549503786	0.805736242677965	0.748728645981029	0.79254982330987	0.927414426046504
ED05_S_Wi2013	0.680131870557539	0.872418560012178	0.610814711024957	0.853442038377725	0.793179872263034	0.928791335578694	0.776828421658962	0.767978614869837	0.88403775563131	0.914743567260151	0.973697967592817	0.400139760496957	0.667436400767534	0.323831460685882	0.45336601768764	0.725667800920136	0.899583287924241	0.858194162364109	0.91362219953189	0.818333622729736	0.916197067614032	0.653978979139773	0.7539264090409	0.935854817260268	0.827784493073123	0.977223074665477	0.701642360913754	0.973522159642937	0.838757173984932	0.98562585716717	0.989846156091722	0.891306720741565	0.701892596552697	0.870479829651879	0.94174632283381	0.919061955408531	0.909977910985687	0.986765501931199	0.891901702051078	0.984624519474382	0.652533550809627	0.943568495722724	0.921546840405758	0.695926856611922	0.517622456220194	0.705625606961846	0.855793487040303	0.667016143531202	0.216590558496396	0.491710411240879	0.610394457081208	0.502248274687716	0.487443794143589	0.537012584703704	0.576872735883634	0.664152815969262	0.806427157959866	0.884566670857836	0.665035392431395	0.986166177044053
ED05_S_Wi2016	0.587308318787109	0.723809604661211	0.68618677438828	0.704926821869088	0.705891122253294	0.795171289245242	0.610493239778413	0.676447964530202	0.762486609205758	0.850184146146752	0.858750310833215	0.731684199682293	0.402117963717218	0.658460510174232	0.655393889813241	0.69856291123765	0.742962690378533	0.695363887922822	0.765150469257693	0.651361238497276	0.907404744838515	0.62411860791838	0.625026498446626	0.80801713321472	0.728542886914514	0.916463241919308	0.618595251163538	0.876919720634593	0.646148810366614	0.893911503437503	0.925920177383591	0.758624916480939	0.596291608153375	0.833874848332027	0.838452453243299	0.799673418634414	0.79239776563987	0.916755555668853	0.790627089968678	0.920042027624724	0.6185515707915	0.85149177983666	0.800837459747868	0.643131205356965	0.640521034666179	0.595568241473788	0.694374350971756	0.595213601141218	0.727612509202426	0.564387958981372	0.673661738502235	0.619931647939344	0.672247900140353	0.582192932913088	0.620765846997131	0.581077250340654	0.611137764603728	0.728542845638765	0.610423469887661	0.958546909126652
ED05_S_Wi2017	0.608876455794585	0.834151161078479	0.555079884389416	0.796206364753734	0.7474419887573	0.898533821124369	0.719640185780726	0.719330498871462	0.856741267069189	0.896529596826149	0.945480689192602	0.465898250421817	0.570975630095553	0.265975309283029	0.426551671034519	0.683302760913613	0.858786719837066	0.806987607855102	0.882476767597274	0.759179232797558	0.919618154009031	0.580980254817744	0.688502107803001	0.908392954861275	0.811609012072032	0.964145375276461	0.651160932112271	0.954613609714927	0.784833873122129	0.97022161086157	0.975290826318064	0.855399880637908	0.646952420854028	0.859015966650566	0.910308689707783	0.888671657083094	0.880935610149761	0.97287983522136	0.862687848862172	0.973146503048448	0.613861473991712	0.920568432226248	0.887432310109053	0.658781673506402	0.500756620576856	0.657471435328357	0.811037963798861	0.631388484870927	0.339157697211275	0.436215393946777	0.566355139324821	0.497484112370553	0.461120381733399	0.494080276818524	0.536784878889998	0.574224805581935	0.748949828181514	0.835353831627933	0.619491087677143	0.980509601190551
ED05_S_Wi2018	0.573682216782569	0.832331735623325	0.532329190017069	0.786754595093742	0.720855144378923	0.897029447200943	0.693212334609579	0.700509308004861	0.858324705934548	0.893934738497093	0.9360901323015	0.520668432812769	0.560387902085721	0.436363859384158	0.360772207624562	0.684441532769963	0.853764833490435	0.781008851441638	0.874646638422396	0.742404157969029	0.913701399846055	0.633409961012732	0.688696085524434	0.911638408989998	0.806661892095395	0.96267718864847	0.650932219103754	0.954993123050789	0.764601999723678	0.96800201747573	0.971001832472521	0.846605958350515	0.653410861716542	0.864754430355428	0.902399383237755	0.882108551546879	0.877231512441706	0.973977076033132	0.858069855207276	0.971972540153637	0.59695431413758	0.923982231252096	0.877888169394507	0.664547655470027	0.508144142399319	0.635592580952585	0.808556195934082	0.641262630483753	0.49343668704237	0.453552532252129	0.503218296915239	0.561663110533034	0.527156117766743	0.503780328023113	0.500285732539572	0.570317257601945	0.714212134568661	0.808485056608738	0.626956668873914	0.979614040167887
ED10_S_Wi2017	0.75025329049344	0.730868124960666	0.830748840569008	0.669574620098962	0.716925485241858	0.642427778400818	0.700788638684595	0.682900090980613	0.738327696876349	0.679132528148995	0.812401977781404	0.815182991762681	0.671270552710845	0.798694838988123	0.801119323846432	0.338808527703028	0.649333002240426	0.681631924695161	0.535340843214362	0.650091296181035	0.843304703769182	0.715157636234799	0.702822025551605	0.777333808013206	0.704345866057911	0.790245697751512	0.722273001712855	0.834142909976544	0.772784542622552	0.827638643755362	0.778271479840657	0.559564772426646	0.622966966636961	0.71983600346647	0.876284945847094	0.801136479798412	0.779055450402074	0.8766694971447	0.824084082205296	0.809301002530134	0.699350011072997	0.76421093626542	0.810435132269016	0.740985954888959	0.772150695930833	0.687806145506591	0.715198039716351	0.683857725079909	0.821009135468797	0.731132130455757	0.814266463048909	0.693518886381377	0.717548008739301	0.730618583654273	0.762392616933581	0.717265390000323	0.759795140125207	0.754354911696876	0.678212563885483	0.858964697138764
EL05_S_Wi2017A	0.811304909997506	0.638486182747864	0.909824259316818	0.485345289963248	0.655629183525323	0.540143928840545	0.620013166851921	0.629264245555178	0.686446474300549	0.790389637731123	0.713136259381075	0.920429850051253	0.705348710060604	0.899399006269308	0.900015387788907	0.700772864132501	0.394908240608802	0.535667014312531	0.599399740521509	0.585786805247583	0.919167868836656	0.82045607566645	0.673229733947852	0.681339966015183	0.764593551162584	0.777075834936011	0.753988522951591	0.743705725433366	0.733523473221109	0.73514520800694	0.79750696322969	0.660526851137062	0.575346281491549	0.840457510255137	0.830137275546242	0.711644856696911	0.678085549556087	0.799914724565032	0.784227351701968	0.782627893414596	0.806916935778021	0.693437629217987	0.712180859157181	0.723794882181118	0.843005726400504	0.656267686159336	0.570095872658523	0.636865249196452	0.931428303569431	0.784073566057712	0.901807626668623	0.720504120506464	0.753287002816269	0.766384599951302	0.863349021774732	0.751420190762725	0.753959332428719	0.723753605442546	0.725848741477684	0.899152520443425
EL05_S_Wi2018	0.803497021785776	0.65324110184747	0.877767710690454	0.522903804575762	0.609281946281995	0.563596156125855	0.639150944403945	0.578751676402144	0.668338007866312	0.800848293714975	0.716307815945693	0.898710506710206	0.712264947561076	0.878439471794649	0.868611414060657	0.727132707826969	0.49850897233389	0.467606541870948	0.613207824285702	0.62719988222186	0.92786665389782	0.818195518895265	0.677382282964888	0.659909125177613	0.77459634892602	0.757433086537462	0.729926617474764	0.727632318370437	0.697416179673784	0.714308657641047	0.797245433842274	0.653919189569965	0.573193572854579	0.849508841045726	0.786704197651329	0.693939286585069	0.65667228037624	0.77732906275181	0.758869216341783	0.762802009615856	0.791303118882129	0.686968361661884	0.689023459969865	0.724457289445524	0.814786558546156	0.633578334385711	0.580134040440516	0.643906099639999	0.914716049556562	0.76136097721767	0.869517240280947	0.740322462550508	0.767821418895766	0.752374735493705	0.833180108590672	0.754154599684124	0.715998567839995	0.696629701578587	0.735914076066637	0.891380279142994
EL10_S_Wi2017	0.826903925161185	0.693357072654758	0.923384496502842	0.630072734641117	0.715511428785772	0.534195322369691	0.730848140504715	0.678499800620282	0.683920559974717	0.674360121777666	0.772923623886012	0.935084683549871	0.754060543983327	0.923793888137686	0.917675126060967	0.561504805186159	0.582488155687595	0.628995652825971	0.312227805557328	0.684462309617123	0.859783809446851	0.824910288306407	0.758174800533803	0.710918086086467	0.719249071548052	0.692654197795609	0.796903059173112	0.764182794846518	0.795095422757499	0.742160222417903	0.744496636027079	0.527121767042093	0.610082708381205	0.755393508833952	0.841827309162008	0.749289018378735	0.732193394529282	0.805247131556403	0.818900108118942	0.705157097598479	0.766117832378117	0.687632248296282	0.784633540052057	0.780549295054228	0.865749801002605	0.727664965596401	0.667912207241802	0.699038012061245	0.944043757740508	0.830252230682642	0.924094210032614	0.77928610686895	0.801462934652277	0.813599552017002	0.849978539017989	0.785608261385668	0.799666619678801	0.715508775504607	0.728512312402128	0.82196424925696
EM05_S_Wi2017	0.730988329005402	0.712828034846874	0.850079169807577	0.590891081340695	0.710453358018916	0.669409619702593	0.654947414163065	0.689886632158206	0.765202500013375	0.796017128407936	0.768109914525696	0.861653277916306	0.653124172705276	0.836551546135798	0.838660193701612	0.68463707282655	0.57465322949077	0.643332370998535	0.689208639174648	0.430926381863361	0.894504347587927	0.78429652468706	0.689708623644866	0.782791355896473	0.782298888536736	0.860885789997189	0.755368219103617	0.836670158092654	0.780430897554476	0.844596718849438	0.848016443259238	0.703887575872226	0.64724969689033	0.812596597719026	0.889194381968158	0.788014140240823	0.766081635252191	0.894669965935788	0.850790556716405	0.871927879950965	0.761480485027571	0.783657947615467	0.789681585181517	0.703442382793805	0.800207563109144	0.694673714335422	0.664777313414872	0.672613459471443	0.8676338330076	0.755705831140918	0.842936641056455	0.705467753461954	0.739727122480892	0.739608480856168	0.800245464760255	0.689884640904891	0.785235764687425	0.769352238500143	0.688651184275687	0.922781056767298
