"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Ekhidna",74.64,82.32,55.35,70.71,70.54,57.63,77.29,67.03,63.59,75.48,69.08
"Dyadobacter",59.49,71.26,0,0,0,0,58.05,68.1,54.69,59.36,62.11
"Flectobacillus",0,64.47,0,0,0,34.48,0,0,0,0,0
"Leadbetterella",73.49,65.96,0,0,0,54.79,0,0,0,0,59.07
"Cytophaga",57.13,57.96,0,0,0,0,0,0,0,0,0
"Chryseolinea",83.83,77.75,0,78.15,77.96,0,69.55,82.15,78.81,77,79.24
"Emticicia",49.15,66.47,0,0,0,0,0,0,0,0,43.53
"Arcicella",53.37,67.17,0,0,0,51.92,0,0,0,0,0
"Hymenobacter",56.91,63.36,0,47.94,62.62,0,0,56.55,46.45,49.44,53.5
"Pontibacter",60.47,0,48.03,53.8,48.16,45.84,38.33,39.59,46.87,58.65,64.6
"Algoriphagus",82.05,87.88,0,0,0,0,74.8,0,70.07,76.7,74.52
"Paludibacter",78.82,82.86,0,0,0,0,0,0,64.46,71.11,73.63
"Proteiniphilum",0,44.39,0,35.46,0,0,33.68,0,0,35.57,37.45
"Microbacter",69.01,75.34,0,61.61,61.31,0,66.22,68.83,61.51,69.05,68.06
"Macellibacteroides",63.5,75.23,0,59.11,0,57.67,59.98,58.18,55.17,63.46,60.29
"Bacteroides",61.72,76.05,57.05,0,0,0,0,0,0,0,0
"Prevotella 9",0,74.03,0,33.94,32.16,0,31.07,34.85,0,0,0
"Marinifilum",0,0,0,61.92,51.02,0,0,57.72,0,0,0
"Saccharicrinis",49.62,0,53.37,59.06,56.82,52.03,66.25,62.73,58.54,60.04,56.19
"[Cytophaga] xylanolytica group",74.96,75.11,0,0,0,0,65.17,73.62,64.6,68.45,71.88
"Carboxylicivirga",72.78,76.21,65.44,68.9,71.23,69.99,69.08,68.9,73.48,70.17,68.86
"Prolixibacter",72.83,73.43,0,56.26,68.8,60.65,62.12,72.57,63.35,67.24,68.56
"BSV13",61.78,75.83,0,61,0,0,61.63,71.29,61.83,68.69,69.05
"vadinBC27 wastewater-sludge group",49.26,70.72,0,0,0,0,45.31,45.55,40.37,46.55,46.29
"Blvii28 wastewater-sludge group",51.41,58.65,0,0,0,0,43.28,47.72,41.74,51.48,50.24
"Acetobacteroides",0,54.89,0,0,0,0,0,0,0,0,0
"Draconibacterium",73.22,89.31,87.87,81.77,83.27,83,79.58,85.16,87.25,85.66,84.42
"Chryseobacterium",73.85,77.18,0,0,0,0,64.28,72.83,55.77,61.84,67.66
"Flavobacterium",87.51,86.83,0,0,0,77.84,0,85.29,0,0,81.51
"Tenacibaculum",0,42.36,0,26.29,30.51,0,0,28.12,0,27.35,26.91
"Lutibacter",91.4,86.9,84.71,92.02,78.85,0,79.54,90.5,76.2,77.91,90.3
"Gillisia",0,56.19,53.62,42.88,45.53,56.37,50.3,38.1,34.18,36.86,42.06
"Maribacter",0,72.44,0,0,68.89,0,0,0,66.72,69.48,67.54
"Ulvibacter",73.58,79.77,0,66.5,62.5,0,0,0,70.28,71.4,67.11
"Winogradskyella",0,46.92,56.79,58.63,60.73,0,54.77,55.97,0,50.81,49.51
"Arenibacter",0,0,34.38,40.12,42.15,41.31,0,0,0,0,0
"Eudoraea",73.48,69.33,0,0,0,57.92,0,0,0,0,0
"Gramella",46.83,39.89,36.55,42.95,43.5,44.6,38.88,39.74,43.87,57.46,64.99
"Aureisphaera",62.37,60.42,79.41,53.1,96.56,0,59.01,75.54,72.54,81.84,84.43
"Aquibacter",63.85,70.04,68.88,78.17,75.15,71.25,76.78,78.68,0,71.19,76.64
"Maritimimonas",0,96.75,0,0,0,81.93,0,0,0,73.68,0
"Cloacibacterium",64.28,86.18,0,0,0,0,0,0,0,0,0
"Pseudofulvibacter",0,43.99,0,0,0,0,81.95,0,0,0,37.06
"Actibacter",80.52,80.73,70.33,70.62,75.45,83.98,76.09,76.18,75.53,73.76,73.48
"Gaetbulibacter",0,67.73,0,65.29,71.42,0,0,0,0,0,0
"Robiginitalea",77.5,74.78,71.39,78.76,81.05,0,0,76.55,0,76.26,66.85
"Mariniflexile",0,62.3,0,0,0,59.78,0,0,0,0,0
"Zeaxanthinibacter",69.24,77.23,70.69,71.26,82.51,70.43,75.31,73.08,76.89,81.75,79.72
"Sediminicola",30.4,38.76,28.33,33.99,45.47,39.67,39.71,41.85,30.56,41.58,37.29
