Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
EB10_S_Wi2017,19061,19061,5943,5943,3919.9036660547,7.6004243333,0.8746203859,0.9186110125,0.9978314454,15136.3311772903,14221.0496535797
EB10_S_Wi2017RNA,18402,18402,5100,5100,3533.7831413551,7.2959846918,0.8546314004,0.8930077971,0.9967044027,10709.0806306778,9626.5182481752
EB10_S_Wi2018,17267,17267,5790,5790,4022.1316052705,7.4698623966,0.8621836717,0.9000303431,0.9948017619,16121.368566323,15076.6209476309
EB10_S_Wi2019,49679,49679,12075,12075,4631.7623023152,8.3040278362,0.8835113132,0.9838088093,0.9990771579,21944.1337411613,19785.1434995912
EBI05_S_Wi2013,21500,21500,4779,4779,3189.0672240352,7.3659817697,0.869451537,0.9130457527,0.9976915262,8645.1343703408,8102.9544392523
EBI05_S_Wi2015,26985,26984,7678,7677,4205.6949315767,7.8797860579,0.8808054231,0.9443434898,0.9984697721,15455.9496106265,13971.5120274914
EBI05_S_Wi2016,36149,36149,5840,5840,2813.2268149949,7.0414464769,0.811929407,0.886598962,0.9963374737,11385.826335485,11029.5686486486
EBI05_S_Wi2017,24079,24079,7198,7198,4135.2625959729,7.8619596269,0.8852004563,0.9441180043,0.9986965311,16581.8181599946,15574.8073878628
EBI05_S_Wi2018,20783,20783,6316,6316,3989.4758899733,7.6437843569,0.8734913626,0.9218914049,0.9979066086,14361.6091389277,13370.7819404419
EBI05_S_Wi2018RNA,16752,16752,5271,5271,3903.7743894877,7.6833902508,0.8965475294,0.9291015435,0.9986481892,10617.1897998617,9549.6075949367
EBI05_S_Wi2019,41551,41550,8263,8262,3734.5642730918,7.6783905241,0.8513059394,0.9334990628,0.99741282,14130.616369745,12917.5383693046
EBI10_S_Wi2013,41254,41253,5919,5918,2939.5211848325,7.1468520674,0.8228086107,0.8949224006,0.9968040673,8378.3342189614,7916.7065217391
EBI10_S_Wi2016,34212,34212,4645,4645,2329.9936202974,6.6117687547,0.7830558683,0.8527330544,0.9949853278,9293.174585788,8825.3904109589
EBI10_S_Wi2017,17394,17394,4208,4208,3000.8924800338,7.0371239828,0.8433002898,0.8789082556,0.996838076,10198.6265181203,9665
EBI10_S_Wi2017RNA,26034,26034,4770,4770,2695.3042558027,6.3574410681,0.7505743591,0.8048141141,0.9797492467,9562.8597016259,8564.5555555556
EBI10_S_Wi2018,19588,19588,5031,5031,3291.9198598271,7.2647491194,0.8523325477,0.8969682935,0.9973548733,12605.5819940644,11841.555862069
EBI10_S_Wi2019,45093,45093,7709,7709,3098.1236192602,7.0130396681,0.7835672654,0.8724257472,0.991243713,15425.2215379369,13995.5007153076
EBI20_S_Wi2013,33902,33902,5735,5735,2642.8321566413,6.6659402368,0.7702422026,0.8459737571,0.9927181189,13940.343742707,12629.6769055745
