"","x"
"EO10_S_Wi2018",23966
"EO10_S_Wi2019",30165
"EOI10_S_Su2017",26230
"EOI10_S_Su2017RNA",26360
"EOI10_S_Su2018",17444
"EOI10_S_Wi2013",27635
"EOI10_S_Wi2015",13610
"EOI10_S_Wi2016",46708
"EOI10_S_Wi2017",41670
"EOI10_S_Wi2017RNA",31441
"EOI10_S_Wi2018",24244
"EOI10_S_Wi2018RNA",22818
"EOI10_S_Wi2019",59931
"EOI10_WBM_Su2017",28778
"EOI10_WBM_Su2018",32029
"EOI10_WPM_Au2017",18460
"EOI10_WPM_Au2018",51587
"EOI10_WPM_Sp2017",21405
"EOI10_WPM_Sp2018",33351
"EOI10_WPM_Su2017",33165
"EOI10_WPM_Su2018",30535
"EOI10_WPM_Wi2018",44566
"EOI10_WPM_Wi2019",61339
"EOI15_S_Su2017",23588
"EOI15_S_Su2017RNA",51258
"EOI15_S_Su2018",44002
"EOI15_S_Wi2013",25489
"EOI15_S_Wi2015",25188
"EOI15_S_Wi2016",61811
"EOI15_S_Wi2017",22083
"EOI15_S_Wi2017RNA",23206
"EOI15_S_Wi2018",25340
"EOI15_S_Wi2019",60100
"EOI15_WBM_Su2017",36936
"EOI15_WBM_Su2018",11903
"EOI15_WPM_Au2017",32696
"EOI15_WPM_Au2017_Taq",100800
"EOI15_WPM_Au2018",60051
"EOI15_WPM_Sp2017",28046
"EOI15_WPM_Sp2018",28891
"EOI15_WPM_Su2017",26406
"EOI15_WPM_Su2018",19801
"EOI15_WPM_Wi2018",26637
"EOI15_WPM_Wi2019",39588
"EOI20_S_Su2017",29610
"EOI20_S_Su2017RNA",18291
"EOI20_S_Su2018",20813
"EOI20_S_Su2018RNA",15868
"EOI20_S_Wi2013",48187
"EOI20_S_Wi2013RNA",28234
"EOI20_S_Wi2015",51144
"EOI20_S_Wi2016",41711
"EOI20_S_Wi2017A",25752
"EOI20_S_Wi2017B",3617
"EOI20_S_Wi2018",17922
"EOI20_S_Wi2019",66673
"EOI20_WBM_Su2017",20119
