"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Scoloplos.typicus",0.888,0.884,5,2,16.13,0.004,9.92,0.8545,0.8625,0.888,0.9425,0.976175,0.994,0.97,8.85352174742878,2
"Scrobicularia.plana",0.3765,0.84,81,2,52.04,0.004,4.96,0.340975,0.36145,0.822,0.844,0.856,0.996,1,5.29069896057147,2
"Solen.marginatus",0.7655,0.7585,4,2,3.83,0.276,0.89,0.475,0.486,0.752,0.8165,0.822,0.64,0.442,2.08762787630007,0
"Spio.decoratus",1,1,7,2,57.67,0.004,9.78,0.842,0.847,0.997,1,1,0.992,0.972,10.208502375883,2
"Spiochaetopterus.costarum",1,0.9555,11,2,32.9,0.004,10.3,0.783,0.793,1,1,1,1,1,12.015373625301,2
"Sternaspis.scutata",1,0.9555,6,2,12.31,0.008,5.26,0.72,0.7245,0.83,1,1,0.994,0.942,5.81466409124563,0
"Streblospio.shrubsolii",0.302,0.2285,99,2,67.21,0.012,2.82,0.2285,0.273,0.377,0.904,0.9555,0.918,0.902,3.17873534744055,0
"Tapes.sp.",0.9555,0.714,23,2,15.4,0.032,2.45,0.423825,0.49785,0.77125,0.9555,0.976,0.964,0.862,3.6758195140747,0
"Tellimya.ferruginosa",1,0.7845,6,2,11.54,0.004,5.45,0.779,0.7825,0.822,1,1,0.998,0.962,6.49987998779788,2
"Tharyx.killariensis",1,0.9905,7,2,15.94,0.012,4.76,0.67195,0.70845,0.976,1,1,0.992,0.908,5.09901283943569,0
"Theora.lubrica",1,1,14,2,23.66,0.048,2.06,0.475075,0.64845,0.997,1,1,0.9,0.838,4.19455156776392,0
"Thyasira.flexuosa",1,1,7,2,19.68,0.008,7.03,0.772,0.7775,0.8905,1,1,0.994,0.94,5.90753925768681,0
"Tritia.neritea",0.208,0.226,4,1,7.31,0.156,1.39,0.208,0.208,0.56375,0.74355,0.8095,0.688,0.386,2.05691556872001,0
"Tritia.nitida",1,1,11,2,29.32,0.04,3.75,0.651,0.6555,1,1,1,0.948,0.884,4.603578023387,0
"Tritia.pygmaea",1,1,16,2,72.2,0.004,9.33,0.7245,0.74985,0.997,1,1,1,1,9.86146721456223,2
"Tritia.reticulata",1,1,15,2,73.81,0.004,9.25,0.7689,0.7845,0.997,1,1,1,0.996,10.3212879474006,2
"Tubulanus.polymorphus",1,0.9905,25,2,40.21,0.004,6.37,0.573925,0.7148,0.9935,1,1,0.966,0.914,5.73923332939642,0
"Upogebia.pusilla",0.6355,0.6425,4,1,4.82,0.084,1.66,0.583975,0.599,0.637,0.956,0.9605,0.754,0.476,2.33023168602217,0
"Xenostrobus.securis",0.1185,0.136,5,1,11.55,0.152,1.65,0.069,0.083,0.69475,1,1,0.448,0.652,3.66189472508327,0
