"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Porticoccaceae",5.92,2.999,143,2,61.73,0.01,5.66,1.807425,1.9805,3.04175,5.80845,5.844,0.86,1,6.27549959496817,0
"Spongiibacteraceae",1.2625,5.031,152,1,63.68,0.01,4.79,1.80425,2.2674,4.935,5.06435,5.1793,0.99,1,5.49475765020443,1
"BD2-7",1.2625,3.301,91,1,58.49,0.01,9.33,1.799575,2.6926,3.2635,3.6419,3.738725,1,1,9.65242174314614,1
"Salinisphaeraceae",1.9805,2.927,58,1,67.35,0.01,14.38,2.92685,2.9543,2.99975,3.1087,3.27515,1,1,14.5478545489133,1
"Methylococcaceae",4.994,4.9,76,2,43.98,0.01,3.73,2.543825,2.9831,4.6005,5.8385,5.92,0.92,0.86,4.50867742295303,0
"Marine Methylotrophic Group 2",1.8505,1.8505,33,1,46.28,0.01,7.58,1.67425,1.71855,1.9805,3.2142,3.637,0.99,0.97,6.43702044122193,1
"Marine Methylotrophic Group 1",1.4905,3.4115,48,2,22.9,0.04,2.65,3.00755,3.06615,3.3155,4.49785,4.96635,0.87,0.84,3.24472051392915,0
"pItb-vmat-59",1.0705,3.1205,67,2,33.91,0.03,2.92,2.97275,3.004,3.23075,4.43295,4.821525,0.87,0.94,3.73571796913679,0
"CABC2E06",5.0615,4.0125,21,2,18.43,0.01,4.64,3.00495,3.1606,4.1695,5.06435,5.1853,1,0.98,5.76344990009149,2
"pLW-20",1.0705,3.229,67,2,33.72,0.02,2.62,1.5555,1.8332,3.23575,4.4243,4.4645,0.9,0.82,3.87933989792069,0
"KCM-B-112",5.9335,2.03,43,2,27.56,0.04,2.02,2.029925,2.3045,3.35975,5.9335,5.933675,0.95,0.88,3.6002313862401,0
"Acidiferrobacteraceae",1.8505,3.1265,73,1,54.34,0.01,10.67,2.89235,2.9335,2.997,3.1382,3.273,1,1,11.4671050261286,1
"Sedimenticola family incertae sedis",5.95,5.95,85,2,53.41,0.04,1.67,2.998175,3.31905,4.33075,5.95065,5.9635,0.34,0.79,2.69168271793626,0
"Thiolapillus family incertae sedis",5.95,4.3755,52,1,27.83,0.04,2.28,3.118625,3.1287,4.3035,4.64495,4.6649,0.94,0.8,3.03963354609002,0
"Thiohalophilus family incertae sedis",1.4065,2.2795,38,1,54.24,0.01,7.7,1.405975,1.4739,2.2795,2.56255,3.137025,1,1,9.2586242321711,1
"Desulfovibrionaceae",5.95,5.619,71,2,54.51,0.01,6.83,3.237325,3.358,5.4325,5.85655,5.889,1,1,6.92655656000809,2
"Bacteriovoracaceae",5.8615,5.0615,172,1,64.31,0.03,2.31,3.2998,4.2075,4.9,5.85655,5.923825,0.94,0.89,3.76745311787123,0
"Bdellovibrionaceae",3.0095,3.179,169,1,59.57,0.01,5.89,3.0414,3.0585,3.17275,3.81805,4.265025,1,1,7.05321563664844,1
"Sandaracinaceae",1.6775,4.177,172,1,66.88,0.01,8.06,3.083,3.12595,3.40675,4.3306,4.409675,1,1,8.94976935415741,1
"Polyangiaceae",5.95,3.004,98,2,51.77,0.01,5.19,2.967675,2.99895,3.057,3.358,3.6051,1,1,5.53452531007818,2
"Nannocystaceae",5.95,4.218,159,1,68.46,0.01,5.25,3.78945,4.1497,4.275,5.76785,5.850275,1,1,5.59890654694888,1
"P3OB-42",5.9335,1.8505,172,1,64.38,0.01,4.42,1.564125,1.63175,3.283,5.8385,5.9105,0.75,1,5.03369231463161,0
"Haliangiaceae",1.0705,3.0405,166,1,69.66,0.01,8.6,3.02145,3.0814,3.51925,4.16455,4.3305,1,1,9.42882199805896,1
"VHS-B3-70",2.545,3.186,154,2,63.04,0.01,5.32,2.6222,2.705,3.03825,3.20165,3.384425,1,1,5.64069459870819,2
"Phaselicystidaceae",2.7025,3.0585,52,2,33.27,0.01,5.4,2.693,2.705,3.0475,3.77975,4.994,1,1,5.17393967466514,2
"mle1-27",1.2625,2.896,90,2,47.19,0.01,4.76,2.8469,2.924,2.999,4.1842,4.906225,0.97,1,5.10835782868011,2
"bacteriap25",5.92,5.619,126,2,59.81,0.01,4.19,1.552875,1.6205,5.44375,5.85055,5.8885,0.57,0.98,4.45210613046906,0
"VHS-B4-70",5.8385,5.4645,144,2,68.32,0.01,4.19,2.70475,2.71895,3.206,5.759,5.8178,1,0.99,5.00611457205009,2
"Blfdi19",5.95,3.0235,166,2,63.45,0.01,4.05,2.796475,2.995,3.0725,5.66745,5.88635,0.93,1,4.36362124900353,0
"BIrii41",1.0705,2.896,172,2,64.37,0.01,4.69,1.438775,2.5318,3.02925,3.0725,3.19869999999999,0.93,1,5.20068862837767,0
"UASB-TL25",5.95,5.7175,159,2,74.81,0.01,5.6,3.30065,4.12735,5.723,5.8571,5.883275,0.88,1,4.94451098907683,0
"Eel-36e1D6",5.95,5.8385,159,2,75.54,0.01,5.9,3.3023,5.05945,5.6945,5.8615,5.8615,0.9,1,4.77389966091846,0
"PS-B29",5.8385,5.4645,156,2,71.63,0.01,3.96,2.854575,3.04455,5.185,5.7232,5.834425,0.93,0.94,4.2236665527261,0
